,importance
week,2.1837632066007107
checkout_price,15.39846857167284
emailer_for_promotion,2.859817822978941
homepage_featured,3.215091450490787
op_area,6.877000813612977
center_id_11,0.2542214276299075
center_id_13,0.13638888622130793
center_id_14,0.02876475119945321
center_id_17,0.02005931488421911
center_id_20,0.06489298781269817
center_id_23,0.11784561715133347
center_id_24,0.07963986472218532
center_id_26,0.007434861067222324
center_id_27,0.016453393755438268
center_id_29,0.0002155292091826888
center_id_30,0.03594562349119062
center_id_32,0.0069176119618384905
center_id_34,0.03162824846383336
center_id_36,0.027374647916439638
center_id_39,0.006627625142982756
center_id_41,0.003918052683168995
center_id_42,0.008492751579373906
center_id_43,0.11525912433115794
center_id_50,0.03104349894881131
center_id_51,0.05712002457199688
center_id_52,0.013942426354224713
center_id_53,0.11565825589968005
center_id_55,0.020817200157091608
center_id_57,0.011720692587487458
center_id_58,0.0263970739703953
center_id_59,0.02670241489567891
center_id_61,0.08458468390675351
center_id_64,0.10259013261700048
center_id_65,0.021852283695648376
center_id_66,0.15795055787153392
center_id_67,0.014263843989000425
center_id_68,0.0026863459400084445
center_id_72,0.0013391516466847498
center_id_73,0.036206108064005434
center_id_74,0.015669702051498764
center_id_75,0.016751823549547493
center_id_76,0.02811946146383085
center_id_77,0.18119807183851314
center_id_80,0.005300813043525419
center_id_81,0.008302440428243643
center_id_83,0.007925223350350298
center_id_86,0.02488849002222149
center_id_88,0.08304636037830193
center_id_89,0.06048065086389071
center_id_91,0.01544111736753243
center_id_92,0.013099285235464235
center_id_93,0.02230757579134728
center_id_94,0.014560650683922321
center_id_97,0.047309350246609816
center_id_99,0.05601680263736392
center_id_101,0.017564391607402856
center_id_102,0.030135926299668974
center_id_104,0.05964149474437686
center_id_106,0.0244161231815908
center_id_108,0.0075241291656043385
center_id_109,0.007596005830437835
center_id_110,0.05504956042230217
center_id_113,0.03118604047696937
center_id_124,0.020392622924103238
center_id_126,0.056045198436541925
center_id_129,0.030030656933036772
center_id_132,0.03253831611496645
center_id_137,0.08047464327028268
center_id_139,0.014121114872571481
center_id_143,0.017732107883801446
center_id_145,0.07513243122003019
center_id_146,0.006157644898498685
center_id_149,0.004260226089912734
center_id_152,0.027681979838073054
center_id_153,0.013627943782985045
center_id_157,0.050721951482408725
center_id_161,0.09599404344805734
center_id_162,0.003988926262394341
center_id_174,0.014202167197275831
center_id_177,0.12436704420631897
center_id_186,0.011185810569908458
meal_id_1109,0.08166031314758654
meal_id_1198,0.08670097102307682
meal_id_1207,0.27579285950355986
meal_id_1216,0.053889809277636584
meal_id_1230,0.36927847063676417
meal_id_1247,0.03129261295073495
meal_id_1248,0.2195515035269175
meal_id_1311,0.004108075460423426
meal_id_1438,0.008057718094499355
meal_id_1445,0.08103483459296958
meal_id_1525,0.2870505468022475
meal_id_1543,0.17406927190604168
meal_id_1558,0.10052951710631004
meal_id_1571,0.013739498688037671
meal_id_1727,0.06427616889137679
meal_id_1754,0.23484061224197025
meal_id_1770,0.01435743613263436
meal_id_1778,0.42666625822287507
meal_id_1803,0.0019173592791536147
meal_id_1847,0.1318245295101505
meal_id_1878,0.13117112051000243
meal_id_1885,1.1786184951808754
meal_id_1902,0.00843052254737244
meal_id_1962,0.6476012556777292
meal_id_1971,0.2679273401017447
meal_id_1993,0.7128382810017252
meal_id_2104,0.016678625351545028
meal_id_2126,0.05001403439618831
meal_id_2139,0.2925263186486256
meal_id_2290,0.47462807265663615
meal_id_2304,0.03269025479487647
meal_id_2306,0.3525057666839651
meal_id_2322,0.3615313416228427
meal_id_2444,0.027579439690308908
meal_id_2490,0.2741916571962621
meal_id_2492,0.12035895895271988
meal_id_2494,0.026080891032645392
meal_id_2539,0.19118803876484206
meal_id_2569,0.13417279189147638
meal_id_2577,0.26632660873838543
meal_id_2581,0.17092625944235945
meal_id_2631,0.09679240670775119
meal_id_2640,0.25788376346765907
meal_id_2664,0.125448092078142
meal_id_2704,0.06407350418278715
meal_id_2707,0.3728242598086147
meal_id_2760,0.11755453772721543
meal_id_2826,0.30103465735598106
meal_id_2867,0.05564364145648752
meal_id_2956,0.013975228202176424
region_code_34,0.8547429900430075
region_code_35,0.07443118882042482
region_code_56,2.553336702226831
region_code_71,0.09036179192236715
region_code_77,0.4688230308625883
region_code_85,0.7952783508056219
region_code_93,0.030657312119372865
center_type_TYPE_B,1.7076310951366096
center_type_TYPE_C,2.8897921676408957
category_Biryani,0.8638818383723389
category_Desert,0.3877433186647833
category_Extras,0.38399597091123366
category_Fish,0.13421287047154196
category_Other Snacks,0.7706193813234214
category_Pasta,4.460230891141828
category_Pizza,1.5655750080235182
category_Rice Bowl,14.544894068674465
category_Salad,0.13164209098781762
category_Sandwich,0.42321590964513317
category_Seafood,0.6029715736932271
category_Soup,2.1483359399110884
category_Starters,0.5835093410203027
cuisine_Indian,9.355683481540694
cuisine_Italian,6.8010247761543035
cuisine_Thai,2.2243252678769228
demanda_Normal,0.16533891964427777
demanda_Regular,0.10302382900350052
demanda_low,1.3475831606900497
